local-authority-code,label
ABC,Sparse and rural; Emissions: Industry/domestic/transport; 2nd IMD quintile; Northern Ireland
ESS,Urban; Emissions: Domestic; 4th IMD quintile; East of England
ESX,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; South East
GLA,Urban; Emissions: Urban mainstream; 3rd IMD quintile; London
GLS,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; South West
HAM,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
HRT,Urban; Emissions: Domestic; 5th IMD quintile; East of England
KEN,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; South East
LAN,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; North West
LCR,Urban; Emissions: Public sector; 1st IMD quintile; North West
LEC,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; East Midlands
LIN,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; Yorkshire and The Humber
NFK,Rural; Emissions: Domestic; 3rd IMD quintile; East of England
NTT,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; East Midlands
NYK,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; Yorkshire and The Humber
OXF,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
SCR,Urban; Emissions: Domestic; 2nd IMD quintile; Yorkshire and The Humber
SFK,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East of England
SOM,Rural; Emissions: Domestic; 4th IMD quintile; South West
SRY,Urban; Emissions: Domestic; 5th IMD quintile; South East
STS,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; West Midlands
WAR,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; West Midlands
WOR,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; West Midlands
WSX,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
CPCA,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East of England
GMCA,Urban; Emissions: Urban mainstream; 1st IMD quintile; North West
NECA,Urban with rural areas; Emissions: Domestic; 2nd IMD quintile; North East
NTCA,Urban with rural areas; Emissions: Domestic; 2nd IMD quintile; North East
TVCA,Urban; Emissions: Domestic; 1st IMD quintile; North East
WECA,Urban; Emissions: Urban mainstream; 4th IMD quintile; South West
WMCA,Urban; Emissions: Urban mainstream; 1st IMD quintile; West Midlands
WYCA,Urban; Emissions: Domestic; 2nd IMD quintile; Yorkshire and The Humber
